house_index,bedrooms,bathrooms,toilets,property_type,property_subtype,locality,postal_code,street,number,box,apptFloor,totalfloorCount,latitude,longitude,kitchen,facades,furnished,terrace,terraceSurface,fireplace,fireplaceCount,garden,gardenSurface,pool,landSurface,livingArea,buildingState,constructionYear,cadastralIncome,price,nearest_transport,nearest_school,nearest_supermarket,mobib_score
11223,3.0,3.0,2.0,APARTMENT,APARTMENT,Knokke-Heist,8300,Bronlaan,115,22,2.0,3.0,51.357132,3.3156595,1.0,2.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,1.0,,125.0,JUST_RENOVATED,1994.0,0.0,2975000.0,92.4575272676963,2432.933547137272,1702.8526541054143,7.119532496147947
11224,3.0,1.0,2.0,HOUSE,HOUSE,Herent,3020,Bijlokstraat,155,,,,50.9019494,4.6849156,1.0,4.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1068.0,168.0,GOOD,2014.0,0.0,675000.0,418.8608400213428,1140.2405696048577,421.3619483760923,8.40045053465091
11225,3.0,2.0,3.0,HOUSE,HOUSE,ANTWERPEN,2018,Kroonstraat,134,,,3.0,51.21248509999999,4.4293732,1.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,19.0,0.0,80.0,150.0,JUST_RENOVATED,2022.0,354.0,389900.0,415.4254451259825,310.2306399432013,255.39644564374873,9.069014682774057
11226,3.0,2.0,3.0,HOUSE,HOUSE,BORGERHOUT,2140,Kroonstraat,134,,,3.0,51.21248509999999,4.4293732,1.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,19.0,0.0,80.0,150.0,JUST_RENOVATED,2022.0,354.0,389900.0,415.4254451259825,310.2306399432013,255.39644564374873,9.069014682774057
11227,5.0,1.0,2.0,HOUSE,HOUSE,BONNERT,6700,Rue du Lingenthal,8,,,1.0,49.6804163,5.840734599999999,0.0,4.0,0.0,1.0,15.0,0.0,0.0,1.0,2500.0,0.0,2701.0,300.0,GOOD,1977.0,1194.0,420000.0,1119.3283391445875,2286.779100883747,1273.6848069216437,6.133919609270289
11228,3.0,1.0,2.0,HOUSE,HOUSE,Saint-Léger Châtillon,6747,Rue des Hayettes,17,,,2.0,49.6238412,5.7022347,0.0,4.0,0.0,1.0,10.0,0.0,0.0,1.0,700.0,0.0,815.0,120.0,GOOD,2000.0,745.0,420000.0,225.82787702233273,7401.481175590952,7443.865651500175,3.698896163970223
11229,4.0,1.0,2.0,HOUSE,HOUSE,Tervueren,3080,Parelhoenlaan,15,,,1.0,50.854547,4.547447,1.0,2.0,0.0,1.0,20.0,0.0,0.0,1.0,70.0,0.0,191.0,156.0,AS_NEW,1980.0,1120.0,470000.0,380.99762033457375,2238.488360267325,1722.1049824160214,6.851607611098338
11231,3.0,1.0,2.0,HOUSE,BUNGALOW,DE KLINGE,9170,Oude Molenstraat,118,,,,51.2597433,4.1101518,1.0,4.0,0.0,1.0,15.0,0.0,0.0,1.0,350.0,0.0,1001.0,222.0,GOOD,1976.0,1069.0,499000.0,276.74917399108716,7338.313667779668,2055.4928882088493,5.2606725092059845
11232,3.0,2.0,2.0,HOUSE,VILLA,MARKE,8510,Diagorasstraat,26,,,2.0,50.80025879999999,3.2186788,1.0,4.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,684.0,130.0,GOOD,1978.0,1363.0,499500.0,121.9444725072546,1351.2023600088194,1051.0152332465912,8.23592897448672
11233,3.0,1.0,2.0,HOUSE,HOUSE,Forest,1190,rue pierre decoster,96,,,2.0,50.8235429,4.3293591,1.0,2.0,0.0,1.0,12.0,0.0,0.0,1.0,60.0,0.0,60.0,158.0,GOOD,2011.0,0.0,550000.0,88.11746437216505,247.6960534954684,344.77045597201607,9.487532374525456
11234,4.0,3.0,4.0,HOUSE,EXCEPTIONAL_PROPERTY,Uccle,1180,Avenue Des Sorbiers - Lijsterbessenbomenlaan,3,.,,1.0,50.775074,4.3797742,1.0,4.0,0.0,1.0,60.0,1.0,1.0,1.0,1800.0,0.0,3200.0,240.0,AS_NEW,1981.0,2726.0,1680000.0,237.7102762823861,2410.221890134337,1463.6211788178991,7.100490918988661
11235,1.0,1.0,1.0,APARTMENT,APARTMENT,Dilbeek,1700,Voorspoedlaan,6,,0.0,,50.8414288,4.2623239,0.0,3.0,0.0,1.0,20.0,0.0,0.0,1.0,48.0,0.0,,69.0,AS_NEW,2023.0,0.0,297500.0,444.8498592110514,1232.5636487784388,1015.7519370892094,7.907989797140165
11237,2.0,2.0,3.0,APARTMENT,DUPLEX,Knokke-Heist,8300,Paul Parmentierlaan,187,5.1,0.0,,51.3482789,3.2858464,0.0,,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,,110.0,GOOD,2003.0,0.0,995000.0,720.2990946556357,906.970859150882,684.5641261144829,7.978577883615576
